label,particle_index,diagnostic_sample_hits,diagnostic_sample_fraction,final_speed_mps,source_x_m,source_y_m,source_z_m,final_x_m,final_y_m,final_z_m
dt_0.125_ms,23049,218,0.543640897755611,0.0008995727985166013,-0.0049968804232776165,0.04499911144375801,-0.005005665589123964,-0.005013603717088699,0.04482787474989891,-0.0026512104086577892
dt_0.125_ms,4716,217,0.5411471321695761,0.0010509584099054337,0.2899773418903351,-0.11001542210578918,0.00015098342555575073,0.2903876304626465,-0.11018478125333786,0.002610510913655162
dt_0.125_ms,21364,217,0.5411471321695761,0.0009591059642843902,0.0399954617023468,-0.024992050603032112,-0.005001597106456757,0.0399826318025589,-0.024814194068312645,-0.002636308316141367
dt_0.125_ms,5273,217,0.5411471321695761,0.0009444757015444338,0.049998339265584946,-0.08500246703624725,-9.415218301001005e-06,0.04999208450317383,-0.08508061617612839,0.0022942947689443827
dt_0.125_ms,23178,217,0.5411471321695761,0.0009435031097382307,0.03499532490968704,0.0499984547495842,-0.005004619248211384,0.0349862203001976,0.04974834620952606,-0.0026605299208313227
dt_0.125_ms,5268,217,0.5411471321695761,0.0009308120352216065,0.024994701147079468,-0.08500304818153381,-1.0902893336606212e-05,0.0249608363956213,-0.08508335798978806,0.0022768296767026186
dt_0.125_ms,21241,217,0.5411471321695761,0.0009288864675909281,0.02998664416372776,-0.02998672053217888,-0.005000402219593525,0.029798252508044243,-0.029773980379104614,-0.0026263135951012373
dt_0.125_ms,23176,217,0.5411471321695761,0.0009250865550711751,0.02499592863023281,0.04999867454171181,-0.005005015525966883,0.02498430199921131,0.049765694886446,-0.0026660794392228127
dt_0.125_ms,21233,217,0.5411471321695761,0.0009028614149428904,-0.009999859146773815,-0.029990166425704956,-0.005001723300665617,-0.009996103122830391,-0.02979251928627491,-0.0026176022365689278
dt_0.125_ms,23050,217,0.5411471321695761,0.000899029488209635,1.6252814702966134e-06,0.04499940574169159,-0.005006048362702131,-2.219876660092268e-05,0.04483728110790253,-0.0026529894676059484
dt_0.125_ms,21234,217,0.5411471321695761,0.0008967068861238658,-0.005001332610845566,-0.02999122627079487,-0.005001446697860956,-0.0049980925396084785,-0.029802849516272545,-0.002618085825815797
dt_0.125_ms,21237,217,0.5411471321695761,0.0008954579243436456,0.009992416948080063,-0.029989654198288918,-0.00500127486884594,0.009985792450606823,-0.029799696058034897,-0.0026195913087576628
dt_0.125_ms,21235,217,0.5411471321695761,0.0008934150682762265,-3.877363269566558e-06,-0.02999141439795494,-0.005001262295991182,-6.003314865665743e-06,-0.029806222766637802,-0.0026185030583292246
dt_0.125_ms,21236,217,0.5411471321695761,0.0008929919567890465,0.004993866663426161,-0.02999087981879711,-0.005001243203878403,0.004963365849107504,-0.029804285615682602,-0.002619344275444746
dt_0.125_ms,214,216,0.5386533665835411,0.0010476702591404319,0.1650458723306656,-0.2949639856815338,0.0001710294309305027,0.1653645932674408,-0.29527172446250916,0.0026149426121264696
dt_0.125_ms,8427,216,0.5386533665835411,0.0010298524284735322,0.08999840170145035,0.045003846287727356,-1.6836082068039104e-05,0.09004425257444382,0.04502915218472481,0.002345072338357568
dt_0.125_ms,8548,216,0.5386533665835411,0.0010245800949633121,0.08999833464622498,0.05000348389148712,-1.661208261793945e-05,0.09004303812980652,0.05001722276210785,0.0023409766145050526
dt_0.125_ms,20861,216,0.5386533665835411,0.0009779896354302764,-0.05499282106757164,-0.0449991449713707,-0.005005373153835535,-0.05498272553086281,-0.04480815678834915,-0.002699284814298153
dt_0.125_ms,9508,216,0.5386533665835411,0.0009668813436292112,0.04999789595603943,0.09000297635793686,-1.4350397577800322e-05,0.050001271069049835,0.09007856994867325,0.0022763418965041637
dt_0.125_ms,23283,216,0.5386533665835411,0.0009461636072956026,-0.04499534144997597,0.05499299243092537,-0.005006246734410524,-0.04499272629618645,0.0546618215739727,-0.002703737933188677
dt_0.125_ms,21108,216,0.5386533665835411,0.0009406729368492961,-0.029993535950779915,-0.03499654307961464,-0.005001855082809925,-0.029913373291492462,-0.03498903289437294,-0.0026273576077073812
dt_0.125_ms,23177,216,0.5386533665835411,0.0009341765544377267,0.02999146655201912,0.04999843239784241,-0.005004670936614275,0.02984078973531723,0.04975851997733116,-0.002662267768755555
dt_0.125_ms,21240,216,0.5386533665835411,0.0009185107192024589,0.024990586563944817,-0.02998710237443447,-0.005000582896173,0.02497335523366928,-0.029779111966490746,-0.0026228311471641064
dt_0.125_ms,23167,216,0.5386533665835411,0.0009100667084567249,-0.019997211173176765,0.04999818280339241,-0.005004682578146458,-0.019995447248220444,0.04972531646490097,-0.0026681143790483475
dt_0.125_ms,21239,216,0.5386533665835411,0.0009083360782824457,0.019995637238025665,-0.029987715184688568,-0.005000967998057604,0.01998540759086609,-0.0297850351780653,-0.002619666513055563
dt_0.125_ms,23051,216,0.5386533665835411,0.0009008431807160378,0.004999819677323103,0.04499932751059532,-0.005005997139960527,0.004993509966880083,0.044839706271886826,-0.002653011353686452
dt_0.125_ms,21238,216,0.5386533665835411,0.0009004288585856557,0.014986548572778702,-0.029988523572683334,-0.005001177079975605,0.014878933317959309,-0.029791824519634247,-0.002621391089633107
dt_0.125_ms,29204,215,0.5361596009975063,0.0010724127059802413,-0.08500978350639343,0.29994744062423706,-0.004818780347704887,-0.08510636538267136,0.3000827431678772,-0.0023008431307971478
dt_0.125_ms,6853,215,0.5361596009975063,0.0010549394646659493,0.0849977508187294,-0.01999928429722786,-1.2164961844973732e-05,0.08504661172628403,-0.02000458724796772,0.0023776188027113676
