step,time,x,y,z,command_x,command_y,command_z,depth,bottom_z,command_bottom_z
2080,0.52,-8.654001248942222e-06,-3.5400237266003387e-06,-2.486753225326538,0.0,0.0,-2.4882029119110105,0.04299750000000001,-2.506753225326538,-2.5082029119110105
2160,0.54,-8.570209502067883e-06,-3.944933723687427e-06,-2.4897027015686035,0.0,0.0,-2.491185411911011,0.04598000000000001,-2.5097027015686035,-2.511185411911011
2240,0.56,-9.032518391904887e-06,-3.9559590732096694e-06,-2.4927544593811035,0.0,0.0,-2.4941379119110105,0.048932500000000004,-2.5127544593811035,-2.5141379119110105
2320,0.58,-1.0592727448965888e-05,-2.0937238787155366e-06,-2.4956631660461426,0.0,0.0,-2.4970454119110106,0.051840000000000004,-2.5156631660461426,-2.5170454119110106
2400,0.6,-1.702666668279562e-05,-1.6831244238346699e-06,-2.4979660511016846,0.0,0.0,-2.4998929119110107,0.0546875,-2.5179660511016846,-2.5198929119110107
2480,0.62,-2.380614932917524e-05,-2.0510831291176146e-06,-2.500236988067627,0.0,0.0,-2.5026654119110106,0.057460000000000004,-2.520236988067627,-2.5226654119110106
2560,0.64,-2.875492282328196e-05,-2.7845164822792867e-06,-2.502476215362549,0.0,0.0,-2.5053479119110107,0.06014250000000001,-2.522476215362549,-2.5253479119110107
2640,0.66,-3.162234861520119e-05,-3.6931803606421454e-06,-2.504765033721924,0.0,0.0,-2.507925411911011,0.06272000000000001,-2.524765033721924,-2.527925411911011
2720,0.68,-3.2707022910472006e-05,-4.161708602623548e-06,-2.507053852081299,0.0,0.0,-2.5103829119110106,0.0651775,-2.527053852081299,-2.5303829119110106
2800,0.7000000000000001,-3.3656968298600987e-05,-4.5307101572689135e-06,-2.5092709064483643,0.0,0.0,-2.5127054119110106,0.06750000000000002,-2.5292709064483643,-2.5327054119110106
2880,0.72,-3.388673212612048e-05,-3.7937361412332393e-06,-2.5113308429718018,0.0,0.0,-2.5148779119110105,0.0696725,-2.5313308429718018,-2.5348779119110105
