radius_lower_m,radius_upper_m,radius_center_m,count,chrono_response_mm_mean,chrono_response_mm_rmse,chrono_response_mm_p05,chrono_response_mm_median,chrono_response_mm_p95,genesis_response_mm_mean,genesis_response_mm_rmse,genesis_response_mm_p05,genesis_response_mm_median,genesis_response_mm_p95,error_mm_mean,error_mm_rmse,error_mm_p05,error_mm_median,error_mm_p95,phase,inside_action_radius
0.325,0.33,0.3275,193,0.0,0.0,0.0,0.0,0.0,0.36859771609306335,0.5591327548027039,0.06950865685939789,0.13479730486869812,1.3646982908248901,0.36859771609306335,0.5591327548027039,0.06950865685939789,0.13479730486869812,1.3646982908248901,loaded,False
0.33,0.335,0.3325,164,0.0,0.0,0.0,0.0,0.0,0.3900304138660431,0.579338788986206,0.046846553683280945,0.1576007902622223,1.3307609558105469,0.3900304138660431,0.579338788986206,0.046846553683280945,0.1576007902622223,1.3307609558105469,loaded,False
0.335,0.34,0.3375,165,0.0,0.0,0.0,0.0,0.0,0.3593793213367462,0.5648874640464783,0.007733353413641453,0.10282546281814575,1.3001666069030762,0.3593793213367462,0.5648874640464783,0.007733353413641453,0.10282546281814575,1.3001666069030762,loaded,False
0.34,0.34500000000000003,0.3425,145,0.0,0.0,0.0,0.0,0.0,0.3445384204387665,0.5614511966705322,-0.01750003919005394,0.09949761629104614,1.2711689472198486,0.3445384204387665,0.5614511966705322,-0.01750003919005394,0.09949761629104614,1.2711689472198486,loaded,False
0.34500000000000003,0.35000000000000003,0.34750000000000003,132,0.0,0.0,0.0,0.0,0.0,0.37016990780830383,0.5733565092086792,-0.038713451474905014,0.13070401549339294,1.2362077236175537,0.37016990780830383,0.5733565092086792,-0.038713451474905014,0.13070401549339294,1.2362077236175537,loaded,False
0.35000000000000003,0.355,0.35250000000000004,130,0.0,0.0,0.0,0.0,0.0,0.23820431530475616,0.4767894744873047,-0.07480795681476593,6.327172741293907e-05,1.144870638847351,0.23820431530475616,0.4767894744873047,-0.07480795681476593,6.327172741293907e-05,1.144870638847351,loaded,False
0.355,0.36,0.3575,104,0.0,0.0,0.0,0.0,0.0,0.35109078884124756,0.5713611245155334,-0.09320944547653198,0.15295465290546417,1.1938867568969727,0.35109078884124756,0.5713611245155334,-0.09320944547653198,0.15295465290546417,1.1938867568969727,loaded,False
0.36,0.365,0.3625,110,0.0,0.0,0.0,0.0,0.0,0.24794940650463104,0.4925214350223541,-0.1108175590634346,-0.004589790478348732,1.1399176120758057,0.24794940650463104,0.4925214350223541,-0.1108175590634346,-0.004589790478348732,1.1399176120758057,loaded,False
0.365,0.37,0.3675,92,0.0,0.0,0.0,0.0,0.0,0.3026489317417145,0.5181524753570557,-0.1173202246427536,0.11863669753074646,1.0865689516067505,0.3026489317417145,0.5181524753570557,-0.1173202246427536,0.11863669753074646,1.0865689516067505,loaded,False
0.37,0.375,0.3725,82,0.0,0.0,0.0,0.0,0.0,0.2908393442630768,0.5188764929771423,-0.1272970587015152,0.0853525698184967,1.0198451280593872,0.2908393442630768,0.5188764929771423,-0.1272970587015152,0.0853525698184967,1.0198451280593872,loaded,False
0.375,0.38,0.3775,82,0.0,0.0,0.0,0.0,0.0,0.2899945080280304,0.4799412190914154,-0.12336981296539307,0.24028442800045013,0.9892960786819458,0.2899945080280304,0.4799412190914154,-0.12336981296539307,0.24028442800045013,0.9892960786819458,loaded,False
0.38,0.385,0.3825,52,0.0,0.0,0.0,0.0,0.0,0.38533836603164673,0.5590245127677917,-0.12219623476266861,0.2989363670349121,0.972685694694519,0.38533836603164673,0.5590245127677917,-0.12219623476266861,0.2989363670349121,0.972685694694519,loaded,False
0.385,0.39,0.3875,74,0.0,0.0,0.0,0.0,0.0,0.33009135723114014,0.4811484217643738,-0.1125454381108284,0.25547388195991516,0.8979920148849487,0.33009135723114014,0.4811484217643738,-0.1125454381108284,0.25547388195991516,0.8979920148849487,loaded,False
0.39,0.395,0.3925,34,0.0,0.0,0.0,0.0,0.0,0.4469659626483917,0.5568276643753052,-0.03789495304226875,0.537976086139679,0.9071525931358337,0.4469659626483917,0.5568276643753052,-0.03789495304226875,0.537976086139679,0.9071525931358337,loaded,False
0.395,0.4,0.3975,50,0.0,0.0,0.0,0.0,0.0,0.5225722789764404,0.5874119997024536,0.0229472778737545,0.585128664970398,0.8679375648498535,0.5225722789764404,0.5874119997024536,0.0229472778737545,0.585128664970398,0.8679375648498535,loaded,False
0.4,0.405,0.4025,22,0.0,0.0,0.0,0.0,0.0,0.7506111264228821,0.7864184379577637,0.3542884588241577,0.8498356342315674,0.9951706528663635,0.7506111264228821,0.7864184379577637,0.3542884588241577,0.8498356342315674,0.9951706528663635,loaded,False
0.405,0.41000000000000003,0.40750000000000003,16,0.0,0.0,0.0,0.0,0.0,0.9420491456985474,0.9845172166824341,0.6036742925643921,0.8238012790679932,1.3709031343460083,0.9420491456985474,0.9845172166824341,0.6036742925643921,0.8238012790679932,1.3709031343460083,loaded,False
0.41000000000000003,0.41500000000000004,0.41250000000000003,20,0.0,0.0,0.0,0.0,0.0,1.301779866218567,1.3490989208221436,0.9384911060333252,1.2376041412353516,2.0012173652648926,1.301779866218567,1.3490989208221436,0.9384911060333252,1.2376041412353516,2.0012173652648926,loaded,False
0.41500000000000004,0.42,0.4175,4,0.0,0.0,0.0,0.0,0.0,1.6492794752120972,1.6492972373962402,1.6400690078735352,1.6491620540618896,1.6586542129516602,1.6492794752120972,1.6492972373962402,1.6400690078735352,1.6491620540618896,1.6586542129516602,loaded,False
0.42,0.425,0.4225,2,0.0,0.0,0.0,0.0,0.0,1.968894362449646,1.9688986539840698,1.9651926755905151,1.968894362449646,1.9725960493087769,1.968894362449646,1.9688986539840698,1.9651926755905151,1.968894362449646,1.9725960493087769,loaded,False
0.0,0.005,0.0025,1,-18.486907958984375,18.486907958984375,-18.486907958984375,-18.486907958984375,-18.486907958984375,-3.0240182876586914,3.0240182876586914,-3.0240182876586914,-3.0240182876586914,-3.0240182876586914,15.462889671325684,15.462889671325684,15.462889671325684,15.462889671325684,15.462889671325684,residual,True
0.005,0.01,0.0075,8,-20.34476089477539,20.34649085998535,-20.773767471313477,-20.35547637939453,-20.039724349975586,-3.111903190612793,3.112135648727417,-3.1694839000701904,-3.1114025115966797,-3.0636096000671387,17.23285675048828,17.23483657836914,16.96249008178711,17.215606689453125,17.663362503051758,residual,True
0.01,0.015,0.0125,17,-20.62925148010254,20.632591247558594,-21.209257125854492,-20.658733367919922,-20.112751007080078,-3.3597893714904785,3.3615362644195557,-3.5522258281707764,-3.3377506732940674,-3.242546796798706,17.269458770751953,17.273923873901367,16.659297943115234,17.253053665161133,17.879093170166016,residual,True
0.015,0.02,0.0175,21,-20.790918350219727,20.792163848876953,-21.101192474365234,-20.751243591308594,-20.50737953186035,-3.699599027633667,3.7019453048706055,-3.8755404949188232,-3.703775405883789,-3.528960943222046,17.091320037841797,17.09286880493164,16.678556442260742,17.07763671875,17.441402435302734,residual,True
0.02,0.025,0.0225,29,-21.613826751708984,21.617902755737305,-22.006834030151367,-21.862064361572266,-20.861021041870117,-4.188798427581787,4.1930928230285645,-4.523864269256592,-4.153447151184082,-3.9278013706207275,17.425029754638672,17.429079055786133,16.79962921142578,17.484668731689453,17.927627563476562,residual,True
0.025,0.03,0.0275,35,-21.547103881835938,21.54801368713379,-21.82082748413086,-21.573152542114258,-21.134675979614258,-6.142932891845703,6.775696754455566,-14.052617073059082,-4.851646900177002,-4.431701183319092,15.404170036315918,15.688532829284668,7.143749713897705,16.687103271484375,17.257368087768555,residual,True
0.03,0.035,0.0325,36,-21.15770721435547,21.160276412963867,-21.621501922607422,-21.0623836517334,-20.648326873779297,-10.549410820007324,11.809165000915527,-19.0633487701416,-11.767600059509277,-4.729571342468262,10.608295440673828,11.885788917541504,2.167006015777588,9.56003189086914,16.709821701049805,residual,True
0.035,0.04,0.037500000000000006,48,-20.777502059936523,20.78075408935547,-21.237468719482422,-20.776615142822266,-20.30004119873047,-9.821681022644043,11.481368064880371,-19.241064071655273,-5.611591339111328,-5.134308338165283,10.95582103729248,12.425325393676758,1.3020579814910889,14.851201057434082,15.720115661621094,residual,True
