phase,axis,coordinate_m,chrono_response_mm,genesis_response_mm,error_mm
loaded,y,-0.06499999999999997,-16.853979110717773,-3.703760862350464,13.15021800994873
loaded,y,-0.06,-17.5450439453125,-7.384562969207764,10.160480499267578
loaded,y,-0.05499999999999999,-18.277687072753906,-11.199651718139648,7.078035354614258
loaded,y,-0.04999999999999999,-19.03680992126465,-13.319499969482422,5.717309951782227
loaded,y,-0.044999999999999984,-19.690120697021484,-14.264540672302246,5.425580024719238
loaded,y,-0.03999999999999998,-20.35672950744629,-17.572669982910156,2.784059524536133
loaded,y,-0.034999999999999976,-21.05678939819336,-14.538970947265625,6.517818450927734
loaded,y,-0.02999999999999997,-21.743263244628906,-14.670954704284668,7.072308540344238
loaded,y,-0.024999999999999967,-21.0102481842041,-14.734241485595703,6.276006698608398
loaded,y,-0.019999999999999962,-21.609041213989258,-14.740303039550781,6.868738174438477
loaded,y,-0.014999999999999958,-21.020362854003906,-14.738978385925293,6.281384468078613
loaded,y,-0.010000000000000009,-21.101192474365234,-14.735075950622559,6.366116523742676
loaded,y,-0.0050000000000000044,-20.94622802734375,-14.729308128356934,6.216919898986816
loaded,y,0.0,-20.101797103881836,-14.725045204162598,5.376751899719238
loaded,y,0.0050000000000000044,-18.486907958984375,-14.722626686096191,3.7642812728881836
loaded,y,0.010000000000000009,-20.354984283447266,-14.721501350402832,5.633482933044434
loaded,y,0.015000000000000013,-20.38987922668457,-14.71863842010498,5.67124080657959
loaded,y,0.020000000000000018,-20.572311401367188,-14.712989807128906,5.859321594238281
loaded,y,0.025000000000000022,-20.862911224365234,-14.70241641998291,6.160494804382324
loaded,y,0.030000000000000027,-21.807056427001953,-14.668436050415039,7.138620376586914
loaded,y,0.03500000000000003,-21.31836700439453,-14.606561660766602,6.71180534362793
loaded,y,0.040000000000000036,-20.765663146972656,-25.362239837646484,-4.596576690673828
loaded,y,0.04500000000000004,-20.158166885375977,-14.467267990112305,5.690898895263672
loaded,y,0.050000000000000044,-19.521465301513672,-13.904332160949707,5.617133140563965
loaded,y,0.05499999999999999,-18.87234878540039,-12.65835189819336,6.213996887207031
loaded,y,0.06,-18.474628448486328,-10.642834663391113,7.831793785095215
loaded,y,0.065,-17.60593032836914,-8.470831871032715,9.135098457336426
loaded,y,0.07,-16.999916076660156,-6.480398654937744,10.51951789855957
loaded,y,0.07500000000000001,-16.399295806884766,-4.369102478027344,12.030193328857422
loaded,y,0.08000000000000002,-10.91673755645752,-2.4301300048828125,8.486607551574707
loaded,y,0.08500000000000002,0.0,-0.9099735021591187,-0.9099735021591187
loaded,y,0.09000000000000002,0.0,0.06275173276662827,0.06275173276662827
loaded,y,0.09500000000000003,0.0,0.6708893775939941,0.6708893775939941
loaded,y,0.10000000000000003,0.0,1.0753527879714966,1.0753527879714966
loaded,y,0.10500000000000004,0.0,1.2949851751327515,1.2949851751327515
loaded,y,0.11000000000000004,0.0,1.3781949281692505,1.3781949281692505
loaded,y,0.11500000000000005,0.0,1.3974055051803589,1.3974055051803589
loaded,y,0.12,0.0,1.2694004774093628,1.2694004774093628
loaded,y,0.125,0.0,1.1747462749481201,1.1747462749481201
loaded,y,0.13,0.0,1.0763477087020874,1.0763477087020874
loaded,y,0.135,0.0,0.9732329249382019,0.9732329249382019
loaded,y,0.14,0.0,0.8762567043304443,0.8762567043304443
loaded,y,0.14500000000000002,0.0,0.7890417575836182,0.7890417575836182
loaded,y,0.15000000000000002,0.0,0.7107597589492798,0.7107597589492798
loaded,y,0.15500000000000003,0.0,0.6434562802314758,0.6434562802314758
loaded,y,0.16000000000000003,0.0,0.5888757705688477,0.5888757705688477
loaded,y,0.16500000000000004,0.0,0.5464766621589661,0.5464766621589661
loaded,y,0.17000000000000004,0.0,0.5126777291297913,0.5126777291297913
loaded,y,0.17500000000000004,0.0,0.48689261078834534,0.48689261078834534
loaded,y,0.18,0.0,0.4688953161239624,0.4688953161239624
loaded,y,0.185,0.0,0.45315736532211304,0.45315736532211304
loaded,y,0.19,0.0,0.43788430094718933,0.43788430094718933
loaded,y,0.195,0.0,0.4229538142681122,0.4229538142681122
loaded,y,0.2,0.0,0.4080020785331726,0.4080020785331726
loaded,y,0.20500000000000002,0.0,0.3931395709514618,0.3931395709514618
loaded,y,0.21000000000000002,0.0,0.37832799553871155,0.37832799553871155
loaded,y,0.21500000000000002,0.0,0.36286595463752747,0.36286595463752747
loaded,y,0.22000000000000003,0.0,0.34604552388191223,0.34604552388191223
loaded,y,0.22500000000000003,0.0,0.32784807682037354,0.32784807682037354
loaded,y,0.23000000000000004,0.0,0.3089946210384369,0.3089946210384369
loaded,y,0.23500000000000004,0.0,0.2905988395214081,0.2905988395214081
loaded,y,0.24000000000000005,0.0,0.2722417116165161,0.2722417116165161
loaded,y,0.24500000000000005,0.0,0.25676965713500977,0.25676965713500977
loaded,y,0.25000000000000006,0.0,0.2482975870370865,0.2482975870370865
loaded,y,0.25500000000000006,0.0,0.24622952938079834,0.24622952938079834
loaded,y,0.26000000000000006,0.0,0.252076119184494,0.252076119184494
loaded,y,0.26500000000000007,0.0,0.2686285376548767,0.2686285376548767
loaded,y,0.2700000000000001,0.0,0.2964361906051636,0.2964361906051636
loaded,y,0.2750000000000001,0.0,0.3513757288455963,0.3513757288455963
loaded,y,0.27999999999999997,0.0,0.5324053764343262,0.5324053764343262
loaded,y,0.285,0.0,0.856162965297699,0.856162965297699
loaded,y,0.29,0.0,1.3111785650253296,1.3111785650253296
loaded,y,0.295,0.0,1.6750043630599976,1.6750043630599976
residual,x,-0.295,0.0,1.9709079265594482,1.9709079265594482
residual,x,-0.29,0.0,1.565214991569519,1.565214991569519
residual,x,-0.285,0.0,1.057706594467163,1.057706594467163
residual,x,-0.27999999999999997,0.0,0.6968968510627747,0.6968968510627747
residual,x,-0.27499999999999997,0.0,0.495738685131073,0.495738685131073
residual,x,-0.27,0.0,0.43360382318496704,0.43360382318496704
residual,x,-0.265,0.0,0.3987770676612854,0.3987770676612854
residual,x,-0.26,0.0,0.3737903833389282,0.3737903833389282
residual,x,-0.255,0.0,0.35863345861434937,0.35863345861434937
residual,x,-0.25,0.0,0.3538471758365631,0.3538471758365631
residual,x,-0.245,0.0,0.3589102327823639,0.3589102327823639
residual,x,-0.24,0.0,0.3739530146121979,0.3739530146121979
residual,x,-0.235,0.0,0.39260804653167725,0.39260804653167725
residual,x,-0.22999999999999998,0.0,0.4105941653251648,0.4105941653251648
residual,x,-0.22499999999999998,0.0,0.4280289113521576,0.4280289113521576
residual,x,-0.21999999999999997,0.0,0.4452243149280548,0.4452243149280548
residual,x,-0.21499999999999997,0.0,0.4625355303287506,0.4625355303287506
residual,x,-0.21,0.0,0.480260968208313,0.480260968208313
residual,x,-0.205,0.0,0.4986087381839752,0.4986087381839752
residual,x,-0.19999999999999998,0.0,0.5176602602005005,0.5176602602005005
residual,x,-0.195,0.0,0.5373468995094299,0.5373468995094299
residual,x,-0.19,0.0,0.5578510165214539,0.5578510165214539
residual,x,-0.185,0.0,0.5793344974517822,0.5793344974517822
residual,x,-0.18,0.0,0.6018484234809875,0.6018484234809875
residual,x,-0.175,0.0,0.6280875205993652,0.6280875205993652
residual,x,-0.16999999999999998,0.0,0.6650044918060303,0.6650044918060303
residual,x,-0.16499999999999998,0.0,0.712796151638031,0.712796151638031
residual,x,-0.15999999999999998,0.0,0.7721000909805298,0.7721000909805298
residual,x,-0.155,0.0,0.846609354019165,0.846609354019165
residual,x,-0.15,0.0,0.9368891716003418,0.9368891716003418
residual,x,-0.145,0.0,1.0414069890975952,1.0414069890975952
residual,x,-0.13999999999999999,0.0,1.159594178199768,1.159594178199768
residual,x,-0.13499999999999998,0.0,1.2921481132507324,1.2921481132507324
residual,x,-0.12999999999999998,0.0,1.4359172582626343,1.4359172582626343
