radius_lower_m,radius_upper_m,radius_center_m,count,jp_mean,jp_rmse,jp_p05,jp_median,jp_p95,delta_jp_mean,delta_jp_rmse,delta_jp_p05,delta_jp_median,delta_jp_p95,det_f_mean,det_f_rmse,det_f_p05,det_f_median,det_f_p95,delta_det_f_mean,delta_det_f_rmse,delta_det_f_p05,delta_det_f_median,delta_det_f_p95,vertical_displacement_mm_mean,vertical_displacement_mm_rmse,vertical_displacement_mm_p05,vertical_displacement_mm_median,vertical_displacement_mm_p95,phase,inside_action_radius
0.225,0.23,0.2275,5819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400085210800171,0.9408137798309326,0.8676719665527344,0.943821907043457,0.9962937831878662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.23,0.23500000000000001,0.2325,6273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9401267170906067,0.940942108631134,0.8671638369560242,0.9441589713096619,0.9962499141693115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.23500000000000001,0.24,0.2375,6163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400898218154907,0.9409259557723999,0.8664653897285461,0.9438939690589905,0.9962496161460876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.24,0.245,0.2425,6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9401726722717285,0.9410004615783691,0.86597740650177,0.9440970420837402,0.9959201812744141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.245,0.25,0.2475,6359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941316545009613,0.9421547651290894,0.8655581474304199,0.945549726486206,0.99582839012146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.25,0.255,0.2525,6353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399724006652832,0.940820574760437,0.8633636832237244,0.9445477724075317,0.9953598380088806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.255,0.26,0.2575,6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9391466975212097,0.9399930834770203,0.8612737059593201,0.9434072971343994,0.995189905166626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.26,0.265,0.2625,7010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9416027665138245,0.9424293041229248,0.8632574081420898,0.9461612105369568,0.9952875971794128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.265,0.27,0.2675,7082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395471215248108,0.94038325548172,0.8625689744949341,0.9437052011489868,0.9948815107345581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.27,0.275,0.2725,7126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419530034065247,0.9427671432495117,0.8638373613357544,0.9464327096939087,0.9949012994766235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.275,0.28,0.2775,7021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405391812324524,0.9413664937019348,0.8630383610725403,0.9453989863395691,0.9941309690475464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.28,0.28500000000000003,0.28250000000000003,7588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9424112439155579,0.9432129859924316,0.8636065721511841,0.9481759667396545,0.9944414496421814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
